date,expiry_date,time,profit,strike_price,actual_strike_price,call_start,call_stop,call_profit,call_profit_percent,call_stop_time,put_start,put_stop,put_profit,put_profit_percent,put_stop_time,net,net_gain,net_loss
20-04-2023,20-04-2023,12:50,5.0,42300,42259.6,68.95,0.2,,,2023-04-20 15:20:00,103.55,114.25,10.700000000000003,10.333172380492519,2023-04-20 12:56:00,-58.05,,-58.05
27-04-2023,27-04-2023,12:50,5.0,42900,42860.75,60.9,68.2,7.300000000000004,11.98686371100165,2023-04-27 13:17:00,110.55,125.6,15.049999999999997,13.613749434644957,2023-04-27 12:56:00,22.35,22.35,
04-05-2023,04-05-2023,12:50,5.0,43500,43434.8,38.55,40.5,1.9500000000000028,5.058365758754872,2023-05-04 12:54:00,123.05,130.15,7.1000000000000085,5.770012190166606,2023-05-04 12:56:00,9.050000000000011,9.050000000000011,
11-05-2023,11-05-2023,12:50,5.0,43500,43478.35,85.35,97.25,11.900000000000006,13.942589338019925,2023-05-11 12:55:00,81.3,87.8,6.5,7.995079950799508,2023-05-11 12:51:00,18.400000000000006,18.400000000000006,
18-05-2023,18-05-2023,12:50,5.0,44000,43942.55,70.95,75.6,4.6499999999999915,6.553911205073984,2023-05-18 13:20:00,97.45,133.1,35.64999999999999,36.58286300667008,2023-05-18 12:52:00,40.29999999999998,40.29999999999998,
25-05-2023,25-05-2023,12:50,5.0,43600,43528.45,51.45,56.1,4.649999999999999,9.037900874635566,2023-05-25 12:51:00,109.2,137.3,28.10000000000001,25.73260073260074,2023-05-25 12:55:00,32.75000000000001,32.75000000000001,
01-06-2023,01-06-2023,12:50,5.0,44200,44108.85,48.75,57.15,8.399999999999999,17.230769230769226,2023-06-01 12:53:00,136.75,144.2,7.449999999999989,5.447897623400357,2023-06-01 13:48:00,15.849999999999987,15.849999999999987,
08-06-2023,08-06-2023,12:50,5.0,44300,44259.45,56.35,59.75,3.3999999999999986,6.033717834960068,2023-06-08 12:56:00,95.45,101.95,6.5,6.80984808800419,2023-06-08 13:08:00,9.899999999999999,9.899999999999999,
15-06-2023,15-06-2023,12:50,5.0,43700,43695.5,92.8,98.35,5.549999999999997,5.980603448275859,2023-06-15 13:46:00,80.35,85.5,5.150000000000006,6.409458618543878,2023-06-15 12:55:00,10.700000000000003,10.700000000000003,
22-06-2023,22-06-2023,12:50,5.0,43900,43833.6,40.65,45.05,4.399999999999999,10.824108241082406,2023-06-22 13:18:00,156.6,166.85,10.25,6.545338441890166,2023-06-22 12:52:00,14.649999999999999,14.649999999999999,
02-06-2022,02-06-2022,12:50,10.0,35600,35521.05,89.0,104.65,15.650000000000006,17.584269662921354,2022-06-02 12:56:00,170.3,200.3,30.0,17.615971814445093,2022-06-02 13:04:00,45.650000000000006,45.650000000000006,
09-06-2022,09-06-2022,12:50,10.0,35000,34901.1,43.05,49.5,6.450000000000003,14.982578397212551,2022-06-09 15:03:00,165.45,190.1,24.650000000000006,14.898760954971296,2022-06-09 12:53:00,31.10000000000001,31.10000000000001,
16-06-2022,16-06-2022,12:50,10.0,33100,33049.8,110.35,122.05,11.700000000000003,10.602628001812418,2022-06-16 12:58:00,130.45,145.95,15.5,11.881947106170948,2022-06-16 12:55:00,27.200000000000003,27.200000000000003,
23-06-2022,23-06-2022,12:50,10.0,32900,32838.95,70.05,78.05,8.0,11.42041399000714,2022-06-23 12:52:00,185.95,243.95,58.0,31.19118042484539,2022-06-23 13:08:00,66.0,66.0,
30-06-2022,30-06-2022,12:50,10.0,33400,33395.4,128.1,146.2,18.099999999999994,14.129586260733799,2022-06-30 13:06:00,137.5,0.2,,,2022-06-30 15:20:00,-119.20000000000002,,-119.20000000000002
07-07-2022,07-07-2022,12:50,10.0,34800,34714.35,54.25,61.1,6.850000000000001,12.62672811059908,2022-07-07 12:55:00,158.65,180.9,22.25,14.02458241411913,2022-07-07 14:16:00,29.1,29.1,
14-07-2022,14-07-2022,12:50,10.0,34800,34711.0,60.75,67.75,7.0,11.522633744855968,2022-07-14 12:55:00,151.45,168.95,17.5,11.554968636513701,2022-07-14 13:19:00,24.5,24.5,
21-07-2022,21-07-2022,12:50,10.0,36300,36265.3,68.7,81.35,12.649999999999991,18.413391557496347,2022-07-21 12:51:00,111.9,134.4,22.5,20.10723860589812,2022-07-21 13:00:00,35.14999999999999,35.14999999999999,
28-07-2022,28-07-2022,12:50,10.0,37400,37324.3,50.4,56.55,6.149999999999999,12.202380952380949,2022-07-28 12:51:00,129.7,143.2,13.5,10.40863531225906,2022-07-28 12:58:00,19.65,19.65,
04-08-2022,04-08-2022,12:50,10.0,37700,37641.85,64.65,98.7,34.05,52.66821345707656,2022-08-04 12:53:00,127.3,140.15,12.850000000000009,10.094265514532609,2022-08-04 12:52:00,46.900000000000006,46.900000000000006,
11-08-2022,11-08-2022,12:50,10.0,38900,38887.0,68.2,76.1,7.8999999999999915,11.583577712609957,2022-08-11 12:56:00,86.95,96.55,9.599999999999994,11.04082806210465,2022-08-11 13:22:00,17.499999999999986,17.499999999999986,
18-08-2022,18-08-2022,12:50,10.0,39500,39409.75,31.1,35.45,4.350000000000001,13.9871382636656,2022-08-18 12:54:00,150.15,0.2,,,2022-08-18 15:20:00,-145.60000000000002,,-145.60000000000002
