date,expiry_date,time,strike_price,actual_strike_price,call_start,put_start,call_5%,call_5%_time,call_10%,call_10%_time,call_15%,call_15%_time,call_20%,call_20%_time,call_25%,call_25%_time,call_30%,call_30%_time,call_35%,call_35%_time,call_40%,call_40%_time,call_45%,call_45%_time,call_50%,call_50%_time,put_5%,put_5%_time,put_10%,put_10%_time,put_15%,put_15%_time,put_20%,put_20%_time,put_25%,put_25%_time,put_30%,put_30%_time,put_35%,put_35%_time,put_40%,put_40%_time,put_45%,put_45%_time,put_50%,put_50%_time
25-01-2023,25-01-2023,11:40,41600,41664.5,195.0,92.45,5.641025641025641,11:46,10.64102564102564,12:22,15.589743589743593,11:56,20.256410256410255,12:15,25.66666666666667,12:46,30.84615384615385,12:01,35.8974358974359,12:52,,,45.66666666666667,12:05,,,,,,,,,,,,,,,,,,,,,,
02-02-2023,02-02-2023,11:40,40300,40339.85,223.75,193.8,5.608938547486039,11:51,10.189944134078218,12:18,,,20.893854748603353,14:19,25.85474860335197,12:11,30.32402234636872,14:21,35.217877094972074,14:20,40.91620111731844,12:04,,,50.458100558659204,15:16,,,10.397316821465417,13:53,,,,,,,,,,,40.55727554179565,13:42,,,,
09-02-2023,09-02-2023,11:40,41400,41408.5,101.5,101.75,,,10.73891625615764,14:58,15.615763546798023,14:47,,,,,30.295566502463057,14:31,35.517241379310356,15:11,40.29556650246306,13:59,,,,,,,10.024570024570027,12:58,15.921375921375924,11:51,20.049140049140053,11:55,25.89680589680589,13:14,30.614250614250622,12:07,35.52825552825553,12:09,,,45.6019656019656,12:36,,
16-02-2023,16-02-2023,11:40,41800,41803.0,95.05,86.35,5.470804839558131,11:53,10.520778537611783,11:58,15.149921094160973,11:52,20.515518148342977,12:00,25.512887953708574,13:31,,,,,,,,,,,5.848291835552995,13:09,10.538506079907364,13:13,,,,,,,,,35.90040532715692,12:36,,,,,50.6658946149392,15:10
23-02-2023,23-02-2023,11:40,39900,39917.75,128.9,104.2,5.546935608999228,11:45,,,15.51590380139643,14:28,20.364623739332817,13:08,25.05818463925522,14:29,,,,,40.03103180760279,14:19,,,,,,,10.604606525911706,12:05,,,,,,,30.37428023032629,12:07,35.364683301343575,12:10,40.83493282149712,12:16,45.345489443378106,12:43,50.71976967370442,12:35
02-03-2023,02-03-2023,11:40,40600,40622.35,89.0,74.3,5.280898876404497,11:47,,,,,,,,,,,,,,,,,,,5.450874831763119,12:23,10.699865410497985,12:39,15.27590847913864,12:46,20.592193808882904,12:27,25.773889636608356,13:23,,,35.46433378196502,13:13,,,,,,
09-03-2023,09-03-2023,11:40,41600,41615.7,101.25,58.75,,,,,,,,,,,,,,,,,,,,,5.7021276595744705,11:41,,,,,,,,,,,35.57446808510639,12:00,40.51063829787233,11:53,,,,
16-03-2023,16-03-2023,11:40,39000,39012.8,146.1,120.1,5.8521560574948746,13:32,10.26694045174538,11:45,,,20.636550308008218,11:42,25.975359342915823,11:43,,,,,40.72553045859001,14:12,,,,,5.828476269775187,13:46,10.616153205661949,13:53,,,20.358034970857634,13:17,25.728559533721906,11:57,,,35.17901748542881,12:59,40.59117402164863,11:56,,,,
23-03-2023,23-03-2023,11:40,40000,40027.3,115.7,111.95,5.315471045808117,11:46,,,15.384615384615383,11:49,20.13828867761452,12:13,25.453759723422646,12:02,30.639585133967156,12:31,35.43647363872082,13:13,40.06050129645636,12:30,45.59204840103715,12:24,50.648228176318064,13:20,,,,,,,,,,,,,,,40.50915587315767,14:28,,,50.42429656096472,14:29
29-03-2023,29-03-2023,11:40,39700,39786.2,160.4,74.15,5.486284289276798,11:48,10.723192019950117,11:47,,,20.542394014962586,13:27,25.903990024937645,13:58,,,,,,,45.66708229426434,14:08,,,,,,,15.643964935940652,12:39,20.498988536749817,12:29,25.28658125421443,12:12,30.209035738368158,12:16,35.536075522589336,12:23,,,45.17869184086311,12:20,,
