date,token,stoploss,max_order,net_P&L,time
2022-03-17,BNF,0.55,3,82.79999999999998,2.9645516872406006
2022-03-24,BNF,0.55,3,152.50000000000006,2.533010721206665
2022-03-31,BNF,0.55,3,45.19999999999999,2.5044095516204834
2022-04-07,BNF,0.55,3,61.55000000000001,1.405933141708374
2022-04-13,BNF,0.55,3,101.1,1.2735443115234375
2022-04-21,BNF,0.55,3,57.0,1.9050755500793457
2022-04-28,BNF,0.55,3,9.050000000000015,2.9325973987579346
2022-05-05,BNF,0.55,3,-6.799999999999997,1.5342333316802979
2022-05-12,BNF,0.55,3,37.000000000000014,1.170760154724121
2022-05-19,BNF,0.55,3,57.84999999999994,1.8375744819641113
2022-05-26,BNF,0.55,3,94.75,2.738391160964966
2022-06-02,BNF,0.55,3,-23.00000000000003,1.8406703472137451
