date,token,stoploss,max_order,net_P&L,time,SP_1,SP_time_1,CE_sell_1,PE_sell_1,CE_buy_1,PE_buy_1,start_time_CE_1,start_time_PE_1,end_time_CE_1,end_time_PE_1,SP_2,SP_time_2,CE_sell_2,PE_sell_2,CE_buy_2,PE_buy_2,start_time_CE_2,start_time_PE_2,end_time_CE_2,end_time_PE_2,SP_3,SP_time_3,CE_sell_3,PE_sell_3,CE_buy_3,PE_buy_3,start_time_CE_3,start_time_PE_3,end_time_CE_3,end_time_PE_3,SP_4,SP_time_4,CE_sell_4,PE_sell_4,CE_buy_4,PE_buy_4,start_time_CE_4,start_time_PE_4,end_time_CE_4,end_time_PE_4,SP_5,SP_time_5,CE_sell_5,PE_sell_5,CE_buy_5,PE_buy_5,start_time_CE_5,start_time_PE_5,end_time_CE_5,end_time_PE_5,SP_6,SP_time_6,CE_sell_6,PE_sell_6,CE_buy_6,PE_buy_6,start_time_CE_6,start_time_PE_6,end_time_CE_6,end_time_PE_6,SP_7,SP_time_7,CE_sell_7,PE_sell_7,CE_buy_7,PE_buy_7,start_time_CE_7,start_time_PE_7,end_time_CE_7,end_time_PE_7,SP_8,SP_time_8,CE_sell_8,PE_sell_8,CE_buy_8,PE_buy_8,start_time_CE_8,start_time_PE_8,end_time_CE_8,end_time_PE_8,SP_9,SP_time_9,CE_sell_9,PE_sell_9,CE_buy_9,PE_buy_9,start_time_CE_9,start_time_PE_9,end_time_CE_9,end_time_PE_9,SP_10,SP_time_10,CE_sell_10,PE_sell_10,CE_buy_10,PE_buy_10,start_time_CE_10,start_time_PE_10,end_time_CE_10,end_time_PE_10
2022-01-06,BNF,0.5,3,0,25.16014289855957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-13,BNF,0.5,3,105.05,2.2038040161132812,38700,09:15:00,109.0,234.55,106.4,214.8,09:15:00,09:15:00,09:45:00,10:06:00,38500,10:07:00,131.0,114.0,64.7,97.6,10:07:00,10:07:00,13:32:00,12:29:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-20,BNF,0.5,3,148.85000000000002,1.428605318069458,38100,09:15:00,131.05,164.65,58.6,157.5,09:15:00,09:15:00,12:37:00,09:52:00,38000,12:38:00,110.2,81.75,19.0,103.7,12:38:00,12:38:00,13:38:00,13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-27,BNF,0.5,3,46.04999999999997,1.4610099792480469,37100,09:15:00,296.15,217.6,353.1,174.4,09:15:00,09:15:00,09:28:00,09:34:00,37100,09:35:00,252.1,178.9,320.2,121.2,09:35:00,09:35:00,09:55:00,10:20:00,37200,10:21:00,203.85,153.75,119.7,167.7,10:21:00,10:21:00,12:30:00,10:58:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-03,BNF,0.5,3,41.650000000000034,0.8831157684326172,39300,09:15:00,197.4,128.3,75.8,192.5,09:15:00,09:15:00,12:33:00,09:50:00,39200,12:34:00,127.45,101.2,191.2,53.2,12:34:00,12:34:00,12:40:00,13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,BNF,0.5,3,26.599999999999966,1.284839391708374,38700,09:15:00,174.0,181.95,176.1,144.9,09:15:00,09:15:00,10:07:00,10:20:00,38700,10:21:00,165.85,119.15,248.8,37.8,10:21:00,10:21:00,10:29:00,11:25:00,39000,11:26:00,146.25,117.0,169.1,100.9,11:26:00,11:26:00,12:45:00,12:19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-17,BNF,0.5,3,14.200000000000017,1.0365653038024902,38100,09:15:00,146.4,203.65,59.4,224.9,09:15:00,09:15:00,10:44:00,09:26:00,37700,10:45:00,182.65,174.15,274.0,107.6,10:45:00,10:45:00,10:59:00,11:15:00,37800,11:16:00,163.0,148.25,150.0,188.0,11:16:00,11:16:00,12:06:00,11:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-24,BNF,0.5,3,34.60000000000002,1.297151803970337,36600,09:15:00,246.3,434.35,67.1,561.6,09:15:00,09:15:00,10:22:00,09:45:00,36200,10:23:00,255.9,210.7,230.8,266.2,10:23:00,10:23:00,11:36:00,12:00:00,36100,12:01:00,178.55,206.9,125.0,247.4,12:01:00,12:01:00,13:14:00,12:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-03,BNF,0.5,3,224.14999999999998,1.26249098777771,35700,09:15:00,282.3,197.2,56.0,295.8,09:15:00,09:15:00,11:17:00,09:27:00,35300,11:18:00,189.1,184.75,40.5,236.9,11:18:00,11:18:00,13:31:00,12:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-10,BNF,0.5,3,358.1,1.8501684665679932,35000,09:15:00,187.4,360.15,218.7,122.1,09:15:00,09:15:00,09:52:00,10:44:00,35200,10:45:00,209.25,192.5,65.2,185.2,10:45:00,10:45:00,13:15:00,11:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
