date,token,stoploss,max_order,net_P&L,time
2022-03-17,BNF,0.55,3,82.79999999999998,2.902270793914795
2022-03-24,BNF,0.55,3,152.50000000000006,2.343825578689575
2022-03-31,BNF,0.55,3,45.19999999999999,2.4530394077301025
2022-04-07,BNF,0.55,3,61.55000000000001,1.342761754989624
2022-04-13,BNF,0.55,3,101.1,1.2009215354919434
2022-04-21,BNF,0.55,3,57.0,1.8643758296966553
2022-04-28,BNF,0.55,3,9.050000000000015,2.7317140102386475
2022-05-05,BNF,0.55,3,-10.550000000000008,1.8047893047332764
2022-05-12,BNF,0.55,3,37.000000000000014,1.2891120910644531
2022-05-19,BNF,0.55,3,57.84999999999994,1.560398817062378
2022-05-26,BNF,0.55,3,94.75,2.7083961963653564
2022-06-02,BNF,0.55,3,-23.00000000000003,1.7339816093444824
2022-06-09,BNF,0.55,3,57.050000000000026,1.6500298976898193
