,datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
50,2022-04-19 13:25:00,NIFTY,NFO,Options,21-APR-22,Call,17000,259.1,270.4,257.3,264.15,132450,648350,50
51,2022-04-19 13:30:00,NIFTY,NFO,Options,21-APR-22,Call,17000,265.8,274.8,263.85,274.7,98200,642950,51
52,2022-04-19 13:35:00,NIFTY,NFO,Options,21-APR-22,Call,17000,276.2,283.75,264,277,136050,643600,52
53,2022-04-19 13:40:00,NIFTY,NFO,Options,21-APR-22,Call,17000,278.3,282.3,258.8,263.6,138750,644250,53
54,2022-04-19 13:45:00,NIFTY,NFO,Options,21-APR-22,Call,17000,265,286,260,286,155150,643100,54
55,2022-04-19 13:50:00,NIFTY,NFO,Options,21-APR-22,Call,17000,284.8,285.15,276,283,119450,648400,55
56,2022-04-19 13:55:00,NIFTY,NFO,Options,21-APR-22,Call,17000,281.25,282,267,272.6,98750,645800,56
57,2022-04-19 14:00:00,NIFTY,NFO,Options,21-APR-22,Call,17000,273.9,299.2,271.6,293.8,237850,617500,57
58,2022-04-19 14:05:00,NIFTY,NFO,Options,21-APR-22,Call,17000,295.5,298,287.6,293.65,131700,610500,58
59,2022-04-19 14:10:00,NIFTY,NFO,Options,21-APR-22,Call,17000,296,297.45,277.95,279.1,89550,601050,59
60,2022-04-19 14:15:00,NIFTY,NFO,Options,21-APR-22,Call,17000,279.25,284.25,264.35,270.1,162100,597600,60
61,2022-04-19 14:20:00,NIFTY,NFO,Options,21-APR-22,Call,17000,268.85,276.9,253.65,261.05,134750,583700,61
62,2022-04-19 14:25:00,NIFTY,NFO,Options,21-APR-22,Call,17000,257.6,273.9,257.6,263,92050,581650,62
63,2022-04-19 14:30:00,NIFTY,NFO,Options,21-APR-22,Call,17000,263.1,263.35,243.25,246,173700,588000,63
64,2022-04-19 14:35:00,NIFTY,NFO,Options,21-APR-22,Call,17000,245.6,265,244.85,255.2,99650,579450,64
65,2022-04-19 14:40:00,NIFTY,NFO,Options,21-APR-22,Call,17000,255.55,259.65,245.45,248.55,80200,579850,65
66,2022-04-19 14:45:00,NIFTY,NFO,Options,21-APR-22,Call,17000,245.65,254.4,228.85,228.85,145100,577350,66
67,2022-04-19 14:50:00,NIFTY,NFO,Options,21-APR-22,Call,17000,227.35,232,209.45,209.45,240850,556600,67
68,2022-04-19 14:55:00,NIFTY,NFO,Options,21-APR-22,Call,17000,205.85,205.85,174.2,180.75,450250,567800,68
69,2022-04-19 15:00:00,NIFTY,NFO,Options,21-APR-22,Call,17000,176.25,176.25,115.65,118.2,1106300,708800,69
70,2022-04-19 15:05:00,NIFTY,NFO,Options,21-APR-22,Call,17000,118.55,127.95,84.15,95,4260200,1011950,70
71,2022-04-19 15:10:00,NIFTY,NFO,Options,21-APR-22,Call,17000,98.85,122.1,89.4,89.4,4202100,1651500,71
72,2022-04-19 15:15:00,NIFTY,NFO,Options,21-APR-22,Call,17000,88.35,96.75,72.6,73,3016650,2229700,72
73,2022-04-19 15:20:00,NIFTY,NFO,Options,21-APR-22,Call,17000,74.8,75.75,57.15,58.4,3150750,2595450,73
74,2022-04-19 15:25:00,NIFTY,NFO,Options,21-APR-22,Call,17000,58.45,59.6,45.75,59.6,4288400,3054800,74
